ID,Title,Price,Currency,Available Quantity,Sold Quantity,Permalink,Brand ID,Brand Value,Units per Pack ID,Units per Pack Value,GTIN ID,GTIN Value,Seller ID,Seller Nickname,Installments Quantity,Installments Amount,Installments Rate,Installments Currency ID
MLB1065771105,Kit 2 Refil Filtro Para Purificador Soft Everest 2 Em 1 Prolife - 1013 Baby Star Slim Plus Flat Fit ,71.01,BRL,1,,https://produto.mercadolivre.com.br/MLB-1065771105-kit-2-refil-filtro-para-purificador-soft-everest-2-em-1-prolife-1013-baby-star-slim-plus-flat-fit-_JM,BRAND,Planeta Água,UNITS_PER_PACK,2,GTIN,"7898931242995,7898614781995,6012502438452",218223270,SUPERFILTERFILTROS,12,6.9,16.64,BRL
MLB4181906190,10  Refil Polifil 500a Compátivel Purificador Soft Everest,444,BRL,50000,,https://produto.mercadolivre.com.br/MLB-4181906190-10-refil-polifil-500a-compativel-purificador-soft-everest-_JM,BRAND,EF Elementos Filtrantes,UNITS_PER_PACK,1,,,47024000,MUNDIAL FILTROS.,10,44.4,0,BRL
MLB4343870488, Kit 2 Refil Compatível Soft Everest Star Slim Fit Plus Baby,71.01,BRL,1,,https://produto.mercadolivre.com.br/MLB-4343870488-kit-2-refil-compativel-soft-everest-star-slim-fit-plus-baby-_JM,BRAND,Planeta Água,UNITS_PER_PACK,2,,,648151613,RARVEL STORE,12,6.9,16.64,BRL
MLB3126070884,Kit 2 Pré Filtro Refil Original Soft Everest Envio Imediato ,55.9,BRL,100,,https://produto.mercadolivre.com.br/MLB-3126070884-kit-2-pre-filtro-refil-original-soft-everest-envio-imediato-_JM,BRAND,Soft Everest,,,GTIN,7898585363787,315117650,CLARITTY,3,18.63,0,BRL
MLB3524744735,2 Refil Compatível Pe10b Pe10x Filtro Electrolux Pappca20,78.55,BRL,1,,https://produto.mercadolivre.com.br/MLB-3524744735-2-refil-compativel-pe10b-pe10x-filtro-electrolux-pappca20-_JM,BRAND,Royal B & B,,,,,1097334748,BMCOMMERCE,12,7.64,16.64,BRL
MLB3618135121,Filtro Refil Pure Flow Para Purificador Água Soft Everest Cor Prata,39.97,BRL,500,,https://www.mercadolivre.com.br/filtro-refil-pure-flow-para-purificador-agua-soft-everest-cor-prata/p/MLB27347320,BRAND,WFS,,,GTIN,7898945781930,63322040,FILTRAR FILTROS-ACESSÓRIOS,12,3.88,16.34,BRL
MLB4619206020, 2 Refil Filtro Planeta Água Compativel Soft Everest + 02 Mt,98.99,BRL,1,,https://produto.mercadolivre.com.br/MLB-4619206020-2-refil-filtro-planeta-agua-compativel-soft-everest-02-mt-_JM,BRAND,Planeta Água,UNITS_PER_PACK,2,,,267349645,MAGAZINE LIMAPORTES,12,9.62,16.64,BRL
MLB3570487739,Kit 2 Pçs Refil Pró Life Filtro De Água Soft Everest 1013,126.9,BRL,1,,https://www.mercadolivre.com.br/kit-2-pcs-refil-pro-life-filtro-de-agua-soft-everest-1013/p/MLB27080140,BRAND,Planeta Água,,,GTIN,"7898529300311,7898931242995",82342831,I SAOLEOPOLDO,12,12.33,16.64,BRL
MLB4055725522,Refil Vela Policarbon Compat. C/ Purificador Everest Soft,33.9,BRL,50,,https://produto.mercadolivre.com.br/MLB-4055725522-refil-vela-policarbon-compat-c-purificador-everest-soft-_JM,BRAND,Policarbon,UNITS_PER_PACK,1,,,225275557,ZEGRANDEEPAGODEIRO,12,3.29,16.34,BRL
MLB3452039223,Refil Filtro Vela Purificador Soft Everest 2 Em 1 Original,119,BRL,200,,https://produto.mercadolivre.com.br/MLB-3452039223-refil-filtro-vela-purificador-soft-everest-2-em-1-original-_JM,BRAND,Everest,UNITS_PER_PACK,1,,,297126030,MULTI FILTROSSC,3,39.67,0,BRL
MLB4629772274,Kit Com 3 Refil Pró Life Compatível Purificador Soft Everest,138.6,BRL,1,,https://produto.mercadolivre.com.br/MLB-4629772274-kit-com-3-refil-pro-life-compativel-purificador-soft-everest-_JM,BRAND,Planeta Água,UNITS_PER_PACK,3,,,743461578,CITYLAR BARRA,4,34.65,0,BRL
